City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Saint-Joseph,RE,2022-11-08 23:07:56,-21.3667,55.6167,75.47,82,41,7.38
199,Fandriana,MG,2022-11-08 23:07:56,-20.2333,47.3833,58.44,96,66,2.15
200,Matay,EG,2022-11-08 23:07:57,28.419,30.7792,65.03,63,17,7.36
201,Tracy,US,2022-11-08 23:05:47,37.7397,-121.4252,57.18,64,99,15.99
202,Fenoarivo Atsinanana,MG,2022-11-08 23:07:22,-17.3667,49.4167,68.88,87,45,5.37
203,Vire,FR,2022-11-08 23:07:57,48.9167,-0.8333,52.99,87,23,14.47
204,Richards Bay,ZA,2022-11-08 23:07:57,-28.783,32.0377,70.45,95,99,0.85
205,Kurkino,RU,2022-11-08 23:07:58,53.4257,38.6582,39.07,88,100,9.98
206,Doctor Arroyo,MX,2022-11-08 23:07:58,23.6667,-100.1833,74.12,33,7,4.81
207,Curuguaty,PY,2022-11-08 23:07:58,-24.4694,-55.6945,66.58,62,1,4.12
208,Kavaratti,IN,2022-11-08 23:07:59,10.5669,72.642,81.82,74,57,7.45
209,Sao Joao Da Barra,BR,2022-11-08 23:07:59,-21.6403,-41.0511,73.49,81,31,8.32
210,Gull Lake,CA,2022-11-08 23:07:59,50.1001,-108.4847,5.13,93,100,11.65
211,La Rioja,ES,2022-11-08 23:08:00,42.25,-2.5,49.78,79,100,4.43
212,Kamiiso,JP,2022-11-08 23:08:00,41.8167,140.65,45.72,70,28,5.14
213,Shestakovo,RU,2022-11-08 23:08:00,56.4915,103.96,7.66,99,81,2.8
214,Mildura,AU,2022-11-08 23:08:01,-34.2,142.15,78.08,54,39,19.66
215,Rocha,UY,2022-11-08 23:05:28,-34.4833,-54.3333,54.25,93,0,6.38
216,State College,US,2022-11-08 23:03:21,40.7934,-77.86,48.85,54,0,4.61
217,Tarrega,ES,2022-11-08 23:08:01,41.647,1.1396,57.15,66,92,2.17
218,Yulara,AU,2022-11-08 23:08:01,-25.2406,130.9889,80.65,35,4,3.98
219,Sola,VU,2022-11-08 23:08:02,-13.8833,167.55,80.4,77,96,12.35
220,Henties Bay,NA,2022-11-08 23:08:02,-22.116,14.2845,60.28,90,23,6.11
221,Mana,GF,2022-11-08 23:08:03,5.6592,-53.7767,77.38,88,93,4.54
222,Meulaboh,ID,2022-11-08 23:08:03,4.1363,96.1285,74.82,89,100,2.82
223,Trinidad,BO,2022-11-08 23:08:04,-14.8333,-64.9,82.17,42,1,3.38
224,Sogne,NO,2022-11-08 23:08:04,58.0833,7.8167,54.7,97,99,12.73
225,Lima,PE,2022-11-08 23:04:50,-12.0432,-77.0282,68.9,69,20,14.97
226,Hirara,JP,2022-11-08 23:08:05,24.8,125.2833,76.68,83,3,19.8
227,Evensk,RU,2022-11-08 23:09:05,61.95,159.2333,21.72,81,100,1.14
228,Elliot Lake,CA,2022-11-08 23:09:06,46.3834,-82.6331,33.64,60,66,4.7
229,Umm Kaddadah,SD,2022-11-08 23:09:06,13.6017,26.6876,72.97,18,0,12.1
230,San Rafael,AR,2022-11-08 23:09:07,-34.6177,-68.3301,80.64,26,91,14.72
231,Norman Wells,CA,2022-11-08 23:09:07,65.282,-126.8329,10.63,78,100,5.39
232,Skibbereen,IE,2022-11-08 23:09:07,51.55,-9.2667,53.11,86,96,16.73
233,Chegdomyn,RU,2022-11-08 23:09:08,51.1167,133.0167,25.45,81,96,3.83
234,Bouza,NE,2022-11-08 23:09:08,14.4229,6.0428,76.32,17,17,8.68
235,Vila Velha,BR,2022-11-08 23:09:08,-20.3297,-40.2925,73.94,78,0,5.75
236,Souillac,MU,2022-11-08 23:09:09,-20.5167,57.5167,71.46,79,85,7.83
237,Lillooet,CA,2022-11-08 23:09:09,50.6856,-121.942,21.87,77,99,2.66
238,Dukat,RU,2022-11-08 23:09:10,62.55,155.55,1.76,96,100,0.74
239,Kachug,RU,2022-11-08 23:09:10,53.9606,105.8817,15.93,95,15,0.96
240,Onega,RU,2022-11-08 23:09:11,63.9061,38.1404,34.45,99,100,5.55
241,Khatanga,RU,2022-11-08 23:09:11,71.9667,102.5,-15.83,100,99,6.02
242,Yarada,IN,2022-11-08 23:09:11,17.65,83.2667,73.72,94,20,2.3
243,Bulawayo,ZW,2022-11-08 23:09:12,-20.15,28.5833,67.75,73,68,0.72
244,Juneau,US,2022-11-08 23:06:12,58.3019,-134.4197,31.21,51,75,4.61
245,Ghanzi,BW,2022-11-08 23:09:13,-21.5667,21.7833,72.12,40,5,6.85
246,Porciuncula,BR,2022-11-08 23:09:13,-20.9628,-42.0408,67.32,97,62,1.99
247,Cap-Aux-Meules,CA,2022-11-08 23:09:14,47.3821,-61.8597,43.3,70,47,41.41
248,Bodden Town,KY,2022-11-08 23:09:15,19.2833,-81.25,82.4,67,20,8.05
249,Bambous Virieux,MU,2022-11-08 23:09:15,-20.3428,57.7575,72.21,74,71,9.51
250,Ulaangom,MN,2022-11-08 23:09:15,49.9811,92.0667,27.54,79,100,2.89
251,Yuxia,CN,2022-11-08 23:09:16,34.0615,108.6291,53.91,93,62,2.3
252,Burayevo,RU,2022-11-08 23:09:16,55.8407,55.4083,32.13,94,100,10.98
253,Nouadhibou,MR,2022-11-08 23:09:17,20.931,-17.0347,70.56,77,82,13.42
254,Cairns,AU,2022-11-08 23:09:17,-16.9167,145.7667,87.12,64,40,9.22
255,Torbat-E Jam,IR,2022-11-08 23:09:18,35.244,60.6225,35.8,67,92,4.41
256,Tiarei,PF,2022-11-08 23:09:18,-17.5333,-149.3333,84.22,76,44,4.45
257,Villarrica,PY,2022-11-08 23:09:19,-25.75,-56.4333,66.16,64,0,3.98
258,Bonaventure,CA,2022-11-08 23:09:19,48.0457,-65.4926,38.55,57,66,28.66
259,Torrington,US,2022-11-08 23:05:37,41.8007,-73.1212,49.05,35,0,10.0
260,Chokurdakh,RU,2022-11-08 23:09:20,70.6333,147.9167,-2.85,98,99,8.32
261,Bathsheba,BB,2022-11-08 23:09:20,13.2167,-59.5167,83.01,78,40,20.71
262,Goderich,CA,2022-11-08 23:09:21,43.7501,-81.7165,42.91,42,20,10.4
263,Ust-Nera,RU,2022-11-08 23:09:21,64.5667,143.2,-20.11,97,84,3.76
264,Nikolskoye,RU,2022-11-08 23:05:46,59.7035,30.7861,44.49,90,98,7.16
265,Purificacion,CO,2022-11-08 23:09:22,3.8587,-74.9313,77.77,81,95,3.15
266,Chuy,UY,2022-11-08 23:09:22,-33.6971,-53.4616,57.49,86,0,6.8
267,Sorland,NO,2022-11-08 23:09:22,67.667,12.6934,40.86,57,0,21.25
268,Faanui,PF,2022-11-08 23:09:23,-16.4833,-151.75,78.53,70,97,10.51
269,Norsup,VU,2022-11-08 23:09:23,-16.0667,167.3833,84.18,71,13,6.31
270,Padang,ID,2022-11-08 23:10:24,-0.9492,100.3543,75.25,85,100,2.95
271,Lashio,MM,2022-11-08 23:10:24,22.9333,97.75,53.35,92,11,1.83
272,Trairi,BR,2022-11-08 23:06:18,-3.2778,-39.2689,78.55,75,100,9.35
273,Lubaczow,PL,2022-11-08 23:10:25,50.157,23.1234,42.51,86,55,6.4
274,Sinnamary,GF,2022-11-08 23:10:17,5.3833,-52.95,76.98,89,91,8.28
275,Katsuura,JP,2022-11-08 23:10:23,35.1333,140.3,60.26,62,52,9.42
276,Keetmanshoop,NA,2022-11-08 23:10:27,-26.5833,18.1333,65.86,36,72,14.12
277,Smithers,CA,2022-11-08 23:10:27,54.7804,-127.1743,16.03,59,49,3.67
278,Dunhua,CN,2022-11-08 23:10:27,43.3725,128.2425,36.1,59,0,8.55
279,Jinotega,NI,2022-11-08 23:07:46,13.0917,-86.0018,78.28,60,20,0.0
280,Namatanai,PG,2022-11-08 23:10:28,-3.6667,152.4333,84.38,70,100,4.61
281,Paracuaro,MX,2022-11-08 23:10:29,20.15,-100.7667,75.65,26,0,7.65
